,speaker,topic,episode_id,episode_name,category,text
29,2,uncategorized,uncategorized,uncategorized,uncategorized," Let me bring Mr. Trump in here. The bipartisan Open Debate Coalition got millions of votes on questions to ask here, and this was, in fact, one of the top questions that they got. How will you ensure the Second Amendment is protected? You just heard Secretary Clinton's answer. Does she persuade you that, while you may disagree on regulation, that, in fact, she supports a Second Amendment right to bear arms? TRUMP"
30,2,uncategorized,uncategorized,uncategorized,uncategorized," Well, let me bring in Secretary Clinton. Were you extremely upset?
"
31,3,uncategorized,uncategorized,uncategorized,uncategorized," Well, I was upset because, unfortunately, dozens of toddlers injure themselves, even kill people with guns, because, unfortunately, not everyone who has loaded guns in their homes takes appropriate precautions.
"
32,3,uncategorized,uncategorized,uncategorized,uncategorized,"But there's no doubt that I respect the Second Amendment, that I also believe there's an individual right to bear arms. That is not in conflict with sensible, commonsense regulation.
"
33,3,uncategorized,uncategorized,uncategorized,uncategorized,"And, you know, look, I understand that Donald's been strongly supported by the NRA. The gun lobby's on his side. They're running millions of dollars of ads against me. And I regret that, because what I would like to see is for people to come together and say: Of course we're going to protect and defend the Second Amendment. But we're going to do it in a way that tries to save some of these 33,000 lives that we lose every year.
"
34,2,uncategorized,uncategorized,uncategorized,uncategorized," Let me bring Mr. Trump back into this, because, in fact, you oppose any limits on assault weapons, any limits on high- capacity magazines. You support a national right to carry law. Why, sir?
"
35,1,uncategorized,uncategorized,uncategorized,uncategorized," Well, let me just tell you before we go any further. In Chicago, which has the toughest gun laws in the United States, probably you could say by far, they have more gun violence than any other city. So we have the toughest laws, and you have tremendous gun violence.
"
36,1,uncategorized,uncategorized,uncategorized,uncategorized,"I am a very strong supporter of the Second Amendment. And I am – I don't know if Hillary was saying it in a sarcastic manner, but I'm very proud to have the endorsement of the NRA. And it's the earliest endorsement they've ever given to anybody who ran for president. So I'm very honored by all of that.
"
37,1,uncategorized,uncategorized,uncategorized,uncategorized,"We are going to appoint justices – this is the best way to help the Second Amendment. We are going to appoint justices that will feel very strongly about the Second Amendment, that will not do damage to the Second Amendment.
"
38,2,uncategorized,uncategorized,uncategorized,uncategorized," Well, let's pick up on another issue which divides you and the justices that whoever ends up winning this election appoints could have a dramatic effect there, and that's the issue of abortion.
"
39,1,uncategorized,uncategorized,uncategorized,uncategorized," Right.
"
40,2,uncategorized,uncategorized,uncategorized,uncategorized," Mr. Trump, you're pro-life. But I want to ask you specifically"
41,1,uncategorized,uncategorized,uncategorized,uncategorized," Well, if that would happen, because I am pro-life, and I will be appointing pro-life judges, I would think that that will go back to the individual states.
"
42,2,uncategorized,uncategorized,uncategorized,uncategorized," But I'm asking you specifically. Would you like to...
"
43,1,uncategorized,uncategorized,uncategorized,uncategorized," If they overturned it, it will go back to the states.
"
44,2,uncategorized,uncategorized,uncategorized,uncategorized," But what I'm asking you, sir, is, do you want to see the court overturn – you just said you want to see the court protect the Second Amendment. Do you want to see the court overturn Roe v. Wade?
"
45,1,uncategorized,uncategorized,uncategorized,uncategorized," Well, if we put another two or perhaps three justice on, that's really what's going to be – that will happen. And that'll happen automatically, in my opinion, because I am putting pro-life justices on the court. I will say this"
46,2,uncategorized,uncategorized,uncategorized,uncategorized," Secretary Clinton?
"
47,3,uncategorized,uncategorized,uncategorized,uncategorized," Well, I strongly support Roe v. Wade, which guarantees a constitutional right to a woman to make the most intimate, most difficult, in many cases, decisions about her health care that one can imagine. And in this case, it's not only about Roe v. Wade. It is about what's happening right now in America.
"
48,3,uncategorized,uncategorized,uncategorized,uncategorized,"So many states are putting very stringent regulations on women that block them from exercising that choice to the extent that they are defunding Planned Parenthood, which, of course, provides all kinds of cancer screenings and other benefits for women in our country.
"
49,3,uncategorized,uncategorized,uncategorized,uncategorized,"Donald has said he's in favor of defunding Planned Parenthood. He even supported shutting the government down to defund Planned Parenthood. I will defend Planned Parenthood. I will defend Roe v. Wade, and I will defend women's rights to make their own health care decisions.
"
