index,speaker,speaker_name,topic,text
1241,trump,TRUMP,"immigration, refugees",People are pouring into our country.
1242,trump,TRUMP,immigration,"The other day, we were deporting 800 people."
1243,trump,TRUMP,immigration,"And perhaps they passed the wrong button, they pressed the wrong button, or perhaps worse than that, it was corruption, but these people that we were going to deport for good reason ended up becoming citizens."
1244,trump,TRUMP,misc,Ended up becoming citizens.
1245,trump,TRUMP,misc,And it was 800.
1246,trump,TRUMP,misc,"And now it turns out it might be 1,800, and they don't even know."
1247,moderator,MODERATOR,"question, election", Will you accept the outcome of the election?
1248,trump,TRUMP,misc," Look, here's the story."
1249,trump,TRUMP,america,I want to make America great again.
1250,trump,TRUMP,america,I'm going to be able to do it.
1251,trump,TRUMP,h-clinton,I don't believe Hillary will.
1252,trump,TRUMP,h-clinton,"The answer is, if she wins, I will absolutely support her."
1253,trump,TRUMP,misc,(APPLAUSE)  HOLT: All right.
1254,trump,TRUMP,misc,"That concludes our debate for this evening, a spirit one."
1255,trump,TRUMP,misc,"We covered a lot of ground, not everything as I suspected we would."
1256,trump,TRUMP,misc,The next presidential debates are scheduled for October 9th at Washington University in St. Louis and October 19th at the University of Nevada Las Vegas.
1257,trump,TRUMP,misc,The conversation will continue.
1258,trump,TRUMP,misc,"The vice presidential debate is scheduled for October 4th at Longwood University in Farmville, Virginia."
1259,trump,TRUMP,misc,My thanks to Hillary Clinton and to Donald Trump and to Hofstra University for hosting us tonight.
1260,trump,TRUMP,misc,"Good night, everyone."
