index,speaker_name,speaker,topic,text
492,MODERATOR,moderator,misc,I want to move on.
493,MODERATOR,moderator,question,"This next question from the public through the Bipartisan Open Debate Coalition's online forum, where Americans submitted questions that generated millions of votes."
494,MODERATOR,moderator,question,"This question involves WikiLeaks release of purported excerpts of Secretary Clinton's paid speeches, which she has refused to release, and one line in particular, in which you, Secretary Clinton, purportedly say you need both a public and private position on certain issues."
495,MODERATOR,moderator,question,"So, Tu (ph), from Virginia asks, is it OK for politicians to be two-faced?"
496,MODERATOR,moderator,question,Is it acceptable for a politician to have a private stance on issues?
497,MODERATOR,moderator,question,"Secretary Clinton, your two minutes."
498,CLINTON,clinton,lincoln,"As I recall, that was something I said about Abraham Lincoln after having seen the wonderful Steven Spielberg movie called 'Lincoln.'"
499,CLINTON,clinton,lincoln,It was a master class watching President Lincoln get the Congress to approve the 13th Amendment.
500,CLINTON,clinton,lincoln,And I was making the point that it is hard sometimes to get the Congress to do what you want to do and you have to keep working at it.
501,CLINTON,clinton,lincoln,"And, yes, President Lincoln was trying to convince some people, he used some arguments, convincing other people, he used other arguments."
502,CLINTON,clinton,lincoln,That was a great - I thought a great display of presidential leadership.
503,CLINTON,clinton,"russia, hacking, wikileaks","But, you know, let's talk about what's really going on here, Martha, because our intelligence community just came out and said in the last few days that the Kremlin, meaning Putin and the Russian government, are directing the attacks, the hacking on American accounts to influence our election."
504,CLINTON,clinton,"russia, hacking, wikileaks","And WikiLeaks is part of that, as are other sites where the Russians hack information, we don't even know if it's accurate information, and then they put it out."
505,CLINTON,clinton,"russia, election","We have never in the history of our country been in a situation where an adversary, a foreign power, is working so hard to influence the outcome of the election."
506,CLINTON,clinton,"russia, election, trump","And believe me, they're not doing it to get me elected."
507,CLINTON,clinton,"russia, election, trump",They're doing it to try to influence the election for Donald Trump.
508,CLINTON,clinton,"russia, election, trump"," Now, maybe because he has praised Putin, maybe because he says he agrees with a lot of what Putin wants to do, maybe because he wants to do business in Moscow, I don't know the reasons."
509,CLINTON,clinton,"russia, election, trump",But we deserve answers.
510,CLINTON,clinton,"russia, election, trump, taxes",And we should demand that Donald release all of his tax returns so that people can see what are the entanglements and the financial relationships that he has...
511,MODERATOR,moderator,misc,"Secretary Clinton, you're out of time."
512,CLINTON,clinton,"russia, election, trump, taxes", ... with the Russians and other foreign powers.
513,MODERATOR,moderator,question, Mr. Trump?
514,TRUMP,trump,misc," Well, I think I should respond, because - so ridiculous."
515,TRUMP,trump,misc,"Look, now she's blaming - she got caught in a total lie."
516,TRUMP,trump,wikileaks,"Her papers went out to all her friends at the banks, Goldman Sachs and everybody else, and she said things - WikiLeaks that just came out."
517,TRUMP,trump,wikileaks,And she lied.
518,TRUMP,trump,"h-clinton, lincoln","Now she's blaming the lie on the late, great Abraham Lincoln."
519,TRUMP,trump,lincoln,"(LAUGHTER)  OK, Honest Abe, Honest Abe never lied."
520,TRUMP,trump,lincoln,That's the good thing.
521,TRUMP,trump,"h-clinton, lincoln",That's the big difference between Abraham Lincoln and you.
522,TRUMP,trump,"h-clinton, lincoln","That's a big, big difference."
523,TRUMP,trump,"h-clinton, lincoln",We're talking about some difference.
524,TRUMP,trump,russia,"But as far as other elements of what she was saying, I don't know Putin."
525,TRUMP,trump,"russia, isis","I think it would be great if we got along with Russia because we could fight ISIS together, as an example."
526,TRUMP,trump,russia,But I don't know Putin.
527,TRUMP,trump,"russia, hacking","But I notice, anytime anything wrong happens, they like to say the Russians are - she doesn't know if it's the Russians doing the hacking."
528,TRUMP,trump,hacking,Maybe there is no hacking.
529,TRUMP,trump,russia,But they always blame Russia.
530,TRUMP,trump,"russia, trump",And the reason they blame Russia because they think they're trying to tarnish me with Russia.
531,TRUMP,trump,russia,I know nothing about Russia.
532,TRUMP,trump,russia,"I know - I know about Russia, but I know nothing about the inner workings of Russia."
533,TRUMP,trump,russia,I don't deal there.
534,TRUMP,trump,russia,I have no businesses there.
535,TRUMP,trump,russia,I have no loans from Russia.
536,TRUMP,trump,misc,"I have a very, very great balance sheet, so great that when I did the Old Post Office on Pennsylvania Avenue, the United States government, because of my balance sheet, which they actually know very well, chose me to do the Old Post Office, between the White House and Congress, chose me to do the Old Post Office."
537,TRUMP,trump,misc,"One of the primary area things, in fact, perhaps the primary thing was balance sheet."
538,TRUMP,trump,russia,But I have no loans with Russia.
539,TRUMP,trump,"russia, america","You could go to the United States government, and they would probably tell you that, because they know my sheet very well in order to get that development I had to have."
540,TRUMP,trump,taxes,"Now, the taxes are a very simple thing."
541,TRUMP,trump,taxes,"As soon as I have - first of all, I pay hundreds of millions of dollars in taxes."
542,TRUMP,trump,"h-clinton, taxes",Many of her friends took bigger deductions.
543,TRUMP,trump,taxes,Warren Buffett took a massive deduction.
544,TRUMP,trump,taxes,"Soros, who's a friend of hers, took a massive deduction."
545,TRUMP,trump,misc,Many of the people that are giving her all this money that she can do many more commercials than me gave her - took massive deductions.
546,TRUMP,trump,taxes,I pay hundreds of millions of dollars in taxes.
547,TRUMP,trump,taxes,"But - but as soon as my routine audit is finished, I'll release my returns."
548,TRUMP,trump,taxes,I'll be very proud to.
549,TRUMP,trump,taxes,They're actually quite great.
550,MODERATOR,moderator,misc," Thank you, Mr. Trump."
551,MODERATOR,moderator,taxes," We want to turn, actually, to the topic of taxes."
