index,polarity,subjectivity,speaker,speaker_name,text,applause,attack,agree,noun_phrases,people,locations,topic
286,0.16666666666666666,0.5750000000000001,clinton,clinton,"I've laid out my ideas about what we can do to make college affordable; how we can help people pay off their student debts and save thousands of dollars, how we can create more good jobs because a lot of the young people that I talk with are pretty disappointed the economic prospects they feel their facing.",False,False,False,"['student debts', 'good jobs', 'young people', 'economic prospects']",[],[],"economy, jobs"
287,0.2027777777777778,0.7083333333333334,clinton,clinton," So making community college free, making it possible to attend a public college or university with debt free tuition, looking for ways to protect our rights especially from the concerted Republican assault; on voting rights, on women's rights, on gay rights, on civil rights, on workers rights.",False,False,False,"['community college', 'public college', 'free tuition', 'republican', ""women 's rights"", 'gay rights', 'civil rights', 'workers rights']",[],[],"jobs, women"
288,0.1,0.4,clinton,clinton,"And I know how much young people value their independence, their autonomy, and their rights.",False,False,False,['young people value'],[],[],misc
289,0.1733333333333333,0.32333333333333336,clinton,clinton,So I think this is an election where we have to pull young people and older people together to have a strategy about how we're going to encourage even more American's to vote because it absolutely clear to me...,False,False,False,"['young people', ""american 's""]",[],[],election
290,0.0,0.0,moderator,moderator,That's time...,False,False,False,"[""'s time ...""]",[],[],misc
291,-0.1666666666666666,0.48888888888888893,clinton,clinton,That turning over our White House to the Republicans would be bad for everybody especially young people.,False,False,False,"['white house', 'young people']",[],[],misc
292,0.16666666666666666,0.25,moderator,moderator,"A quick follow up, a thirty second follow up.",False,False,False,[],[],[],misc
293,0.0,0.0,moderator,moderator,Why is Senator Sanders beating you to 2 to 1 among younger votes?,False,False,False,['sanders'],[],[],"question, sanders, diversity"
294,0.3020833333333333,0.5104166666666666,clinton,clinton,"Look, I have the greatest respect for Senator Sanders and for his supports and I'm going to keep working as hard as I can to reach as many people of all ages about what I will do, what the experience and the ideas that I have that I will bring to the White House and I hope to have their support when I'm the Democratic nominee.",False,False,True,"['sanders', 'white house', 'democratic nominee']",[],[],sanders
295,0.0,0.0,moderator,moderator,We're going to take...,False,False,False,[],[],[],misc
296,0.0,0.0,sanders,sanders,Is that your strategy...,False,False,False,['strategy ...'],[],[],misc
297,0.04081632653061224,0.11938775510204082,moderator,moderator,"We're going to take a break. When we come back; big banks, big business and big differences among the three candidates on the American Economy. We'll be right back.",False,False,False,"['big banks', 'big business', 'big differences', 'economy']",[],[],economy
298,0.4,0.45,moderator,moderator,Welcome back from Charleston. Let's turn now to the economy.,False,False,False,"['welcome', 'charleston']",[],[],economy
299,0.13535353535353534,0.4220779220779221,moderator,moderator,"Senator Sanders, you released a tough new ad last week in which without mentioning Secretary Clinton by name, you talk about two Democratic visions for regulating Wall Street. ""One says it's OK to take millions from big banks and tell them what to do. My plan, break up the big banks, close the tax loopholes and make them pay their fair share.""",False,False,False,"['sanders', 'democratic visions', 'wall', 'big banks', 'big banks', 'tax loopholes', 'fair share']",[],[],"question, sanders, economy, taxes"
300,0.0,0.0,moderator,moderator,What do you see as the difference between what you would do about the banks and what Secretary Clinton would do?,False,False,False,[],[],[],"question, h-clinton"
301,0.08333333333333333,0.24444444444444446,sanders,sanders,"Well, the first difference is I don't take money from big banks. I don't get personal speaking fees from Goldman Sachs. What I would do... [applause]",True,False,False,"['big banks', 'personal speaking fees', 'goldman sachs']",[],[],misc
302,-0.074,0.2796666666666666,sanders,sanders,"What I would do is understand that when you have three out of the four largest banks today, bigger than they were when we bailed them out because they were too big to fail, when you have the six largest financial institutions having assets of 60 percent of the GDP of America, it is very clear to me what you have to do.",False,False,False,"['financial institutions', 'gdp', 'america']",[],[],economy
303,0.10000000000000002,0.225,sanders,sanders,You've got to bring back the 21st century Glass-Steagall legislation and you've got to break up these huge financial institutions.,False,False,False,"['glass-steagall', 'huge financial institutions']",[],[],economy
304,0.06666666666666667,0.27499999999999997,sanders,sanders,They have too much economic power and they have too much financial power over our entire economy.,False,False,False,"['economic power', 'financial power', 'entire economy']",[],[],economy
305,0.125,0.4,sanders,sanders," If Teddy Roosevelt were alive today, the old Republican trust buster, what he would say is these guys are too powerful. Break them up. I believe that's what the American people to want see. That's my view.",False,False,False,"['teddy roosevelt', 'republican', 'trust buster', 'american people']",[],[],economy
306,0.0,0.0,moderator,moderator,"Secretary Clinton, help the voter understand the daylight between the two of you here.",False,False,False,[],[],[],"question, h-clinton"
307,-0.05000000000000001,0.3208333333333333,clinton,clinton,"Well, there's no daylight on the basic premise that there should be no bank too big to fail and no individual too powerful to jail. We agree on that.",False,False,False,['basic premise'],[],[],economy
308,0.8,0.75,clinton,clinton,"But where we disagree is the comments that Senator Sanders has made that don't just affect me, I can take that, but he's criticized President Obama for taking donations from Wall Street, and President Obama has led our country out of the great recession.",False,False,True,"['sanders', 'obama', 'wall street', 'obama', 'great recession']",[],[],"economy, obama"
309,-0.11499999999999999,0.4383333333333333,clinton,clinton,"Senator Sanders called him weak, disappointing. He even, in 2011, publicly sought someone to run in a primary against President Obama. Now, I personally believe that President Obama's work to push through the Dodd-Frank... [laughter]",False,True,False,"['sanders', 'obama', 'obama', ""'s work"", 'dodd-frank', '... [ laughter ]']",[],[],"sanders, obama, "
310,0.45,0.75,clinton,clinton,The Dodd-Frank bill and then to sign it was one of the most important regulatory schemes we've had since the 1930s.,False,False,False,"['dodd-frank', 'important regulatory schemes']",[],[],economy
311,0.0,0.0,clinton,clinton," So I'm going to defend Dodd-Frank and I'm going to defend President Obama for taking on Wall Street, taking on the financial industry and getting results. [applause]",True,False,False,"['dodd-frank', 'obama', 'wall street', 'financial industry']",[],[],obama
312,0.375,0.41666666666666663,sanders,sanders,OK. First of all...,False,False,False,['ok.'],[],[],misc
313,0.0,0.0,moderator,moderator,"Senator Sanders, your response.",False,False,False,['sanders'],[],[],sanders
314,0.31880952380952376,0.5554761904761905,sanders,sanders,"Set the record right. In 2006 when I ran for the Senate, Senator Barack Obama was kind enough to campaign for me, 2008, I did my best to see that he was elected and in 2012, I worked as hard as I could to see that he was reelected.",False,False,False,"['set', 'barack obama']",[],[],obama
315,0.5,0.5,sanders,sanders,He and I are friends. We've worked together on many issues. We have some differences of opinion.,False,False,False,[],[],[],obama
316,0.3444444444444445,0.6444444444444445,sanders,sanders,"But here is the issue, Secretary touched on it, can you really reform Wall Street when they are spending millions and millions of dollars on campaign contributions and when they are providing speaker fees to individuals? So it's easy to say, well, I'm going to do this and do that, but I have doubts when people receive huge amounts of money from Wall Street.",False,False,False,"['wall', 'campaign contributions', 'speaker fees', 'huge amounts', 'wall street']",[],[],"economy, h-clinton"
317,0.4444444444444444,0.5555555555555555,sanders,sanders,"I am very proud, I do not have a super PAC. I do not want Wall Street's money. I'll rely on the middle class and working families...",False,False,False,"['pac', 'wall', ""street 's money"", 'middle class', 'families ...']",[],[],middle
318,0.0,0.0,moderator,moderator,That's time.,False,False,False,"[""'s time""]",[],[],misc
319,0.0,0.0,moderator,moderator,Governor O'Malley...[crosstalk],False,False,False,"[""o'malley"", '... [ crosstalk ]']",[],[],omalley
320,0.0,0.0,sanders,sanders,... campaign contributions.,False,False,False,['... campaign contributions'],[],[],misc
321,0.0,0.0,moderator,moderator,I have a question for you... [applause],True,False,False,[],[],[],misc
322,0.0,0.0,clinton,clinton,"You know, I think since, since Senator Sanders followed up on this...",False,False,False,['sanders'],[],[],sanders
323,0.0,0.0,moderator,moderator,Thirty-second response.,False,False,False,['thirty-second'],[],[],misc
324,-0.11875,0.325,clinton,clinton,Your profusion of comments about your feelings towards President Obama are a little strange given what you said about him in 2011.,False,False,False,"['your', 'obama']",[],[],obama
325,0.525,0.575,clinton,clinton,"But look, I have a plan that most commentators have said is tougher, more effective, and more comprehensive.",False,False,False,[],[],[],misc
326,-0.175,0.65,omalley,omalley,That's not true.,False,False,False,[],[],[],misc
327,0.0,0.0,clinton,clinton,"It builds on the Dodd-Frank, yes, it is. It builds on the Dodd-Frank, regulatory scheme...",False,False,False,"['dodd-frank', 'dodd-frank', 'regulatory scheme ...']",[],[],economy
328,-0.175,0.65,omalley,omalley,It's just not true.,False,False,False,[],[],[],misc
329,0.0,0.5,clinton,clinton,"... but it goes much further, because...",False,False,False,[],[],[],misc
330,0.0,0.0,omalley,omalley,"Oh, come on.",False,False,False,['oh'],[],[],misc
331,0.2,0.48750000000000004,clinton,clinton,"... both the governor and the senator have focused only on the big banks. Lehman Brothers, AIG, the shadow banking sector were as big a problem in what caused the Great Recession, I go after them.",False,False,False,"['big banks', 'lehman', 'aig', 'recession']",[],[],"economy, deficit"
332,0.26785714285714285,0.49007936507936506,clinton,clinton,"And I can tell you that the hedge fund billionaires who are running ads against me right now, and Karl Rove, who started running an ad against me right now, funded by money from the financial services sector, sure thing, I'm the one they don't want to be up against. [applause]",True,False,False,"['hedge fund billionaires', 'karl rove', 'financial services sector', 'sure thing']",[],[],economy
333,0.0,0.0,moderator,moderator,Governor O'Malley.,False,False,False,"[""o'malley""]",[],[],omalley
334,0.03833333333333334,0.27666666666666667,omalley,omalley,"Yes, thank you. Yes, Lester, what Secretary Clinton just said is actually not true. What, I have put forward a plan that would actually put cops back on the beat of Wall Street. I have put forward a plan that was heralded as very comprehensive and realistic.",False,False,False,"['lester', 'wall street']",[],[],"h-clinton, police"
335,0.175,0.3875,omalley,omalley,"Look, if a bank robber robs a bank and all you do is slap him on the wrist, he's just going to keep robbing banks again. The same thing is true with people in suits.",False,False,False,['bank robber robs'],[],[],misc
336,0.07916666666666666,0.825,omalley,omalley,"Secretary Clinton, I have a tremendous amount of respect for you, but for you to say there's no daylight on this between the three of us is also not true.",False,False,False,['tremendous amount'],[],[],h-clinton
337,0.2,0.3,omalley,omalley,"I support reinstituting a modern version of Glass- Steagall that would include going after the shadow banks, requiring capital requirements that would force them to no longer put us on the hook for these sorts of things.",False,False,False,"['modern version', 'glass- steagall', 'shadow banks', 'capital requirements']",[],[],economy
338,-0.1708333333333333,0.4791666666666667,omalley,omalley,"In prior debates I've heard you even bring up, I mean, now you bring up President Obama here in South Carolina in defense of the fact of your cozy relationship with Wall Street.",False,False,False,"['obama', 'carolina', 'cozy relationship', 'wall street']",[],[],"obama, economy"
339,0.05,0.75,omalley,omalley,"In an earlier debate, I heard you bring up even the 9/11 victims to defend it. The truth of the matter is, Secretary Clinton, you do not go as far as reining in Wall Street as I would.",False,False,False,['wall street'],[],[],h-clinton
340,-0.16666666666666669,0.41666666666666663,omalley,omalley,"And the fact of the matter is, the people of America deserve to have a president that's on their side, protecting the main street economy from excesses on Wall Street. And we're just as vulnerable today.",False,False,False,"['america', 'main street economy', 'wall street']",[],[],"america, economy"
341,0.0,0.0,moderator,moderator,"Secretary Clinton, 30-second response. [applause]",True,False,False,['30-second response'],[],[],misc
