index,polarity,subjectivity,timestamp,speaker,speaker_name,text,applause,laughter,interaction,attack,attack_target,agree,agree_target,interruption,interrupt_target,defense,defense_against,reference,mentions,noun_phrases,people,locations,topic,autotopic,first_mention
477,0.6,0.6,,trump,Trump,"You land at LaGuardia, you land at Kennedy, you land at LAX, you land at Newark, and you come in from Dubai and Qatar and you see these incredible you come in from China, you see these incredible airports, and you land we've become a third world country.",False,False,False,False,[],False,[],False,,False,,False,[],"['laguardia', 'kennedy', 'lax', 'newark', 'dubai', 'qatar', 'china', 'incredible airports', 'world country']",[],[],misc,['misc'],[]
478,-1.0,1.0,,trump,Trump,So the worst of all things has happened.,False,False,False,False,[],False,[],False,,False,,False,[],[],[],[],misc,['misc'],[]
479,-0.175,0.175,,trump,Trump,"We owe $20 trillion, and we're a mess.",False,False,False,False,[],False,[],False,,False,,False,[],[],[],[],deficit,['misc'],[]
480,0.0,0.0,,trump,Trump,We haven't even started.,False,False,False,False,[],False,[],False,,False,,False,[],[],[],[],misc,['misc'],[]
481,-0.05,0.05,,trump,Trump,"And we've spent $6 trillion in the Middle East, according to a report that I just saw.",False,False,False,False,[],False,[],False,,False,,False,[],[],[],[],deficit,['misc'],[]
482,0.0,0.0,,trump,Trump,"Whether it's 6 or 5, but it looks like it's 6, $6 trillion in the Middle East, we could have rebuilt our country twice.",False,False,False,False,[],False,[],False,,False,,False,[],['whether'],[],[],america,['misc'],[]
483,0.2,0.2,,trump,Trump,And it's really a shame.,False,False,False,False,[],False,[],False,,False,,False,[],[],[],[],misc,['misc'],[]
484,0.0,0.0,,trump,Trump,And it's politicians like Secretary Clinton that have caused this problem.,False,False,True,False,[],False,[],False,,False,,True,['clinton'],"[""'s politicians""]",[],[],h-clinton,['misc'],[]
485,0.3333333333333333,1.0,,trump,Trump,Our country has tremendous problems.,False,False,False,False,[],False,[],False,,False,,False,[],['tremendous problems'],[],[],misc,['misc'],[]
486,0.0,0.0,,trump,Trump,We're a debtor nation.,False,False,False,False,[],False,[],False,,False,,False,[],['debtor nation'],[],[],deficit,['misc'],[]
487,-0.3333333333333333,0.6666666666666666,,trump,Trump,We're a serious debtor nation.,False,False,False,False,[],False,[],False,,False,,False,[],['serious debtor nation'],[],[],deficit,['misc'],[]
488,0.13636363636363635,0.45454545454545453,,trump,Trump,"And we have a country that needs new roads, new tunnels, new bridges, new airports, new schools, new hospitals.",False,False,False,False,[],False,[],False,,False,,False,[],"['new roads', 'new tunnels', 'new bridges', 'new airports', 'new schools', 'new hospitals']",[],[],economy,['misc'],[]
489,0.5,0.5,,trump,Trump,"And we don't have the money, because it's been squandered on so many of your ideas.",False,False,False,False,[],False,[],False,,False,,False,[],[],[],[],taxes,['misc'],[]
490,0.0,0.0,,moderator,Moderator, We'll let you respond and we'll move on to the next segment.,False,False,False,False,[],False,[],False,,False,,False,[],[],[],[],misc,['misc'],[]
491,0.0,0.0,,clinton,Clinton, And maybe because you haven't paid any federal income tax for a lot of years.,False,False,False,False,[],False,[],False,,False,,False,[],['federal income tax'],[],[],"taxes, trump",['taxes'],[]
492,0.1375,0.6875,,clinton,Clinton,(APPLAUSE)  And the other thing I think is important...,True,False,False,False,[],False,[],False,,False,,False,[],['important ...'],[],[],misc,['misc'],[]
493,0.0,0.0,,trump,Trump," It would be squandered, too, believe me.",False,False,True,False,[],False,[],True,clinton,False,,False,[],[],[],[],misc,['misc'],[]
494,0.16666666666666666,0.3333333333333333,,clinton,Clinton," ... is if your, if your main claim to be president of the United States is your business, then I think we should talk about that.",False,False,True,False,[],False,[],True,trump,False,,False,[],['main claim'],[],[],trump,['misc'],[]
495,-0.1875,0.5,,clinton,Clinton,"You know, your campaign manager said that you built a lot of businesses on the backs of little guys.",False,False,False,False,[],False,[],False,,False,,False,[],['campaign manager'],[],[],economy,['misc'],[]
496,0.0,0.0,,clinton,Clinton,"And, indeed, I have met a lot of the people who were stiffed by you and your businesses, Donald.",False,False,True,False,[],False,[],False,,False,,True,['trump'],[],[],[],trump,['misc'],[]
497,0.0,0.0,,clinton,Clinton,"I've met dishwashers, painters, architects, glass installers, marble installers, drapery installers, like my dad was, who you refused to pay when they finished the work that you asked them to do.",False,False,False,False,[],False,[],False,,False,,False,[],"['glass installers', 'marble installers', 'drapery installers']",[],[],"middle, justice",['misc'],[]
